,City,Longitude,Latitude,Country,Hotel Name,Hotel Rating,Hotel Address
0,Jamestown,-79.2353,42.097,US,Chautauqua Harbor Hotel,4.6,"10 Dunham Ave, Celoron"
1,Gazojak,61.4036,41.1875,TM,Cedar House Sport Hotel,4.7,"10918 Brockway Rd, Truckee"
2,Saint-François,3.9054,46.4154,FR,Maison Vin d'Hus,5.0,"1 Les Gognauds, Le Pin"
3,Gardiner,-69.7753,44.2301,US,The Stone Turret,4.6,"17 Lincoln Ave, Gardiner"
4,Chardara,67.9692,41.2547,KZ,Жанаргул,5.0,"6XXC+QX2, Shardara"
5,Tākestān,49.6959,36.0696,IR,Khorshid Hotel,3.8,"Takestan, Imam Khomini St, 3M5P+VR3"
6,La Rioja,-2.5,42.25,ES,Casas de Velilla,4.7,"C. del Puente, 19A, Velilla"
7,Salou,1.1416,41.0766,ES,Mercure Atenea Aventura,4.1,"Av. de Ramon d'Olzina, 52, Vila-seca"
8,Saint Anthony,-93.21799999999999,45.0205,US,LivINN Hotel Minneapolis North/Fridley,3.9,"5201 NE Central Ave, Fridley"
9,Ţalkhā,31.3779,31.0539,EG,Mansoura University Hotel,3.5,شارع الجمهورية،بجوار جامعه المنصوره، موازي لكوبري الجامعة ، المنصورة، الدقهلية،
10,Truckee,-120.1833,39.328,US,Truckee Donner Lodge,4.1,"10527 Cold Stream Rd, Truckee"
