City,Longitude,Latitude,Max Temperature (°C),Humidity,Cloudiness,Wind Speed,Country,Weather,Date,Sunrise,Sunset
Arraial do Cabo,-42.0278,-22.9661,26.98,69,20,5.14,BR,Clouds,1657386959,1657358958,1657397816
Jamestown,-79.2353,42.097,25.85,46,0,4.63,US,Clear,1657386959,1657360174,1657414462
Gazojak,61.4036,41.1875,29.26,15,0,5.08,TM,Clear,1657386959,1657326583,1657380539
Swarzędz,17.085,52.4129,21.61,67,20,5.66,PL,Clouds,1657386960,1657334419,1657393978
Rapid Valley,-103.1463,44.0625,37.24,56,0,8.23,US,Clear,1657386960,1657365507,1657420607
Hobart,147.3294,-42.8794,7.92,89,100,2.57,AU,Clouds,1657386960,1657402800,1657435891
Hermanus,19.2345,-34.4187,14.33,75,23,4.69,ZA,Clouds,1657386960,1657345742,1657381623
Serowe,26.7167,-22.3833,14.19,39,0,2.81,BW,Clear,1657386961,1657342393,1657381381
Hobyo,48.5268,5.3505,24.65,75,100,13.21,SO,Clouds,1657386961,1657334305,1657378999
Erdenet,104.0833,49.0333,10.62,93,99,1.35,MN,Clouds,1657386961,1657400994,1657458457
Moissac,1.0945,44.1024,31.93,16,0,3.66,FR,Clear,1657386961,1657340468,1657395606
Mataura,168.8643,-46.1927,1.93,92,23,0.95,NZ,Clouds,1657386961,1657398310,1657430044
Rikitea,-134.9692,-23.1203,23.69,77,100,7.08,PF,Rain,1657386962,1657381280,1657420110
Chumikan,135.315,54.7183,11.39,94,100,2.76,RU,Clouds,1657386962,1657391670,1657452789
Tucuruí,-49.6725,-3.7661,32.7,44,31,2.15,BR,Clouds,1657386767,1657358778,1657401666
Kodino,39.6447,63.7198,18.99,58,56,2.09,RU,Clouds,1657386962,1657322698,1657394870
Hualmay,-77.6139,-11.0964,19.37,70,64,4.81,PE,Clouds,1657386962,1657366218,1657407639
Richards Bay,32.0377,-28.783,20.4,71,0,6.13,ZA,Clear,1657386962,1657341895,1657379325
Punta Arenas,-70.9167,-53.15,1.06,60,20,5.14,CL,Clouds,1657386963,1657371277,1657399366
Sola,167.55,-13.8833,26.34,81,38,7.66,VU,Clouds,1657386963,1657394066,1657434919
Kawalu,108.2082,-7.3817,20.7,92,36,0.61,ID,Clouds,1657386963,1657407648,1657449823
Atuona,-139.0333,-9.8,24.97,81,30,8.65,PF,Rain,1657386963,1657380828,1657422514
Tucumcari,-103.725,35.1717,32.75,31,0,2.57,US,Clear,1657386964,1657367282,1657419110
Dikson,80.5464,73.5069,0.66,89,33,3.32,RU,Clouds,1657386964,0,0
Puerto Ayora,-90.3518,-0.7393,24.98,93,89,1.79,EC,Clouds,1657386964,1657368244,1657411729
Mossamedes,12.1522,-15.1961,18.35,81,13,5.3,AO,Clouds,1657386964,1657345098,1657385667
Gimli,-96.9907,50.6336,22.53,76,64,5.89,CA,Clouds,1657386964,1657362373,1657420786
Māndleshwar,75.6667,22.1833,27.22,81,100,5.73,IN,Clouds,1657386964,1657325980,1657374295
Katsuura,140.3,35.1333,24.08,92,100,7.27,JP,Clouds,1657386965,1657395133,1657446932
Cabo San Lucas,-109.9124,22.8909,34.61,64,20,5.14,MX,Clouds,1657386965,1657370447,1657418915
Bethel,-73.414,41.3712,28.97,46,0,1.54,US,Clear,1657386965,1657358919,1657412922
Vaini,-175.2,-21.2,23.09,83,20,3.6,TO,Clouds,1657386965,1657477110,1657516410
Airai,125.4092,-8.9266,13.37,92,90,1.6,TL,Clouds,1657386965,1657403674,1657445539
Ubari,12.7805,26.5921,39.2,11,3,3.89,LY,Clear,1657386966,1657340532,1657389932
Alice Town,-79.3,25.7167,29.02,68,54,4.96,BS,Clouds,1657386966,1657362750,1657411917
Hasaki,140.8333,35.7333,23.22,93,100,7.3,JP,Clouds,1657386966,1657394909,1657446900
Poya,165.15,-21.35,23.02,90,3,2.31,NC,Clear,1657386966,1657395448,1657434688
Bluff,168.3333,-46.6,2.11,70,66,1.82,NZ,Clouds,1657386966,1657398527,1657430081
Upernavik,-56.1549,72.7868,4.22,83,3,4.15,GL,Clear,1657386901,0,0
Balkanabat,54.3671,39.5108,31.76,22,0,1.99,TM,Clear,1657386967,1657328587,1657381913
Hambantota,81.1185,6.1241,27.21,74,97,9.06,LK,Clouds,1657386967,1657326404,1657371254
Biak,122.8766,-0.9131,23.64,90,98,2.06,ID,Clouds,1657386967,1657403489,1657446940
Avarua,-159.775,-21.2078,22.03,68,100,3.6,CK,Clouds,1657386967,1657387014,1657426284
Okha,142.9478,53.5739,16.58,86,3,4.11,RU,Clear,1657386967,1657390257,1657450537
Bentong,101.9079,3.5181,24.75,82,100,0.81,MY,Clouds,1657386968,1657408085,1657452410
Albany,-73.9662,42.6001,25.53,47,1,2.81,US,Clear,1657386968,1657358807,1657413299
Chui,-53.4616,-33.6971,16.13,90,93,5.59,UY,Clouds,1657386968,1657363081,1657399182
Sur,59.5289,22.5667,28.59,81,100,3.73,OM,Rain,1657386968,1657329809,1657378213
Mopti,-4.0,14.6667,39.31,21,59,3.81,ML,Clouds,1657386968,1657345952,1657392567
Ponta do Sol,-17.1,32.6667,29.51,45,4,1.27,PT,Clear,1657386969,1657346868,1657397940
Hubli,75.1667,15.35,22.02,94,75,5.14,IN,Drizzle,1657386969,1657326874,1657373641
Miquelon,-56.3814,47.0975,15.0,89,95,5.78,PM,Clouds,1657386969,1657353577,1657410088
Nichinan,131.3667,31.6,24.18,88,1,1.85,JP,Clear,1657386969,1657397810,1657448544
Nakamura,132.9333,32.9833,23.73,98,52,1.22,JP,Clouds,1657386969,1657397231,1657448370
Son La,103.9,21.3167,21.48,99,100,1.0,VN,Clouds,1657386969,1657405727,1657453812
Te Anau,167.7167,-45.4167,-0.35,90,93,1.88,NZ,Clouds,1657386969,1657398418,1657430486
Alamogordo,-105.9603,32.8995,31.98,33,88,0.0,US,Clouds,1657386883,1657368168,1657419297
Busselton,115.3333,-33.65,13.65,63,89,10.52,AU,Rain,1657386970,1657408956,1657445095
Igarka,86.5833,67.4667,14.49,86,53,4.39,RU,Clouds,1657386970,0,0
Ketchikan,-131.6461,55.3422,14.26,94,100,4.12,US,Rain,1657386970,1657369078,1657430718
Sioux Lookout,-91.917,50.1001,25.04,47,75,3.6,CA,Clouds,1657386971,1657361310,1657419413
